site_id,site_name,site_category,site_type,service,address,suburb,postcode,lhn_code,status,details,source
SAAS-629,KAPUNDA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,10 HILL STREET,KAPUNDA,5373,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-579,KAROONDA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 55 STOKES ROAD,KAROONDA,5307,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-580,KEITH STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 24 HILL AVENUE,KEITH,5267,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-581,KIMBA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,8A CROSS STREET,KIMBA,5641,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-582,KINGSCOTE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,17 MURRAY STREET,KINGSCOTE,5223,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-583,KINGSTON STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,2 SMITHS LANE,KINGSTON SE,5275,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-585,LAMEROO STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 1 CHANDOS TERRACE,LAMEROO,5302,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-586,LEIGH CREEK STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,PT LT 305 BLACK OAK DRIVE,LEIGH CREEK,5731,FUNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-587,LOCK STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,34 DEARMAN STREET,LOCK,5633,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-589,LOXTON STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,KOKODA TERRACE,LOXTON,5333,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-590,LUCINDALE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,MUSGRAVE AVENUE,LUCINDALE,5272,LCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-591,MAITLAND STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,68 ROBERT STREET,MAITLAND,5573,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-592,MALLALA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 747 ADELAIDE ROAD,MALLALA,5502,BFHLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-594,MANNUM STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,ADELAIDE ROAD,MANNUM,5238,RMCLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-595,MARION BAY STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,10-20 SLOW STREET,MARION BAY,5575,YNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-603,MARION STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,346A STURT ROAD,MITCHELL PARK,5043,SALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-596,MARLA STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,LOT 9 PLOVER STREET,MARLA,5724,EFNLHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
SAAS-597,MCLAREN VALE STATION,Ambulance,AMBULANCE STATION,SA Ambulance Service,ALDERSEY STREET,MCLAREN VALE,5171,SALHN,OPERATIONAL,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SAAS
